participant_id,story_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,model_short,model_full,strategy
7,59,5,4,4,4,4,5,GPT-4,gpt-4,plan_write
2,60,2,1,1,1,4,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,60,2,4,2,3,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,60,1,1,1,1,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,60,4,3,1,2,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,60,4,5,4,4,3,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,61,2,2,4,2,3,5,GPT-4,gpt-4,writer_profile
3,61,4,3,3,3,4,4,GPT-4,gpt-4,writer_profile
4,61,5,4,5,4,5,5,GPT-4,gpt-4,writer_profile
6,61,4,3,5,3,5,3,GPT-4,gpt-4,writer_profile
7,61,5,4,5,4,3,5,GPT-4,gpt-4,writer_profile
2,62,4,4,5,4,4,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,62,3,3,3,2,2,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,62,1,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,62,4,3,3,3,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,62,4,3,5,4,4,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,63,5,4,1,3,2,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,63,3,5,4,4,3,3,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,63,1,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,63,4,2,1,4,3,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,63,4,4,5,4,4,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,64,4,5,4,4,1,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,64,3,3,3,3,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,64,3,2,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,64,2,2,2,3,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,64,5,5,4,4,3,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,65,1,2,2,1,1,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,65,2,4,3,2,2,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,65,1,1,1,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,65,3,2,2,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,65,4,4,5,4,3,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,66,1,2,4,2,1,5,GPT-4,gpt-4,writer_profile
3,66,4,4,5,3,4,4,GPT-4,gpt-4,writer_profile
4,66,5,3,5,3,5,5,GPT-4,gpt-4,writer_profile
6,66,4,2,4,3,3,2,GPT-4,gpt-4,writer_profile
7,66,5,4,5,4,4,4,GPT-4,gpt-4,writer_profile
2,67,2,3,1,4,2,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,67,2,3,2,3,2,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,67,5,5,4,4,5,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,67,3,4,3,3,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,67,4,5,4,5,3,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,68,4,1,4,1,4,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,68,3,3,3,2,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,68,1,1,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,68,2,1,1,3,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,68,4,3,4,3,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,69,4,4,4,2,4,5,GPT-4,gpt-4,writer_profile
3,69,4,4,4,4,4,4,GPT-4,gpt-4,writer_profile
4,69,5,4,5,4,5,5,GPT-4,gpt-4,writer_profile
6,69,3,2,3,3,3,1,GPT-4,gpt-4,writer_profile
7,69,4,4,4,4,3,4,GPT-4,gpt-4,writer_profile
2,70,2,1,2,3,5,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,70,2,4,3,3,3,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,70,1,1,1,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,70,4,2,3,4,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,70,4,3,4,3,3,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,71,1,1,2,1,1,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,71,3,4,4,3,3,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,71,5,3,5,4,5,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,71,2,1,1,4,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,71,4,3,4,4,3,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,72,1,2,3,1,1,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,72,2,3,2,2,1,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,72,2,2,2,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,72,3,1,4,3,3,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,72,4,3,3,4,3,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,73,1,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,73,2,2,2,3,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,73,3,3,2,2,2,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,73,4,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,73,4,4,4,4,3,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,74,4,4,2,2,2,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,74,3,2,2,2,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,74,1,1,1,3,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,74,2,2,2,3,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,74,4,4,4,4,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,75,1,2,2,2,2,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,75,3,3,3,4,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,75,3,3,2,1,2,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,75,4,2,1,4,1,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,75,4,4,4,4,3,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,76,2,2,2,2,4,5,Human-Intermediate,Human-Intermediate,
3,76,4,5,5,4,3,5,Human-Intermediate,Human-Intermediate,
4,76,4,3,5,3,5,5,Human-Intermediate,Human-Intermediate,
6,76,4,2,4,3,4,2,Human-Intermediate,Human-Intermediate,
7,76,3,2,3,3,2,3,Human-Intermediate,Human-Intermediate,
2,77,4,4,5,4,4,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,77,2,3,2,3,2,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,77,2,2,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,77,3,1,1,1,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,77,3,3,4,3,2,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,78,4,4,4,2,2,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,78,3,4,2,3,3,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,78,2,1,2,1,3,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,78,4,3,3,4,3,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,78,4,3,4,3,3,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,79,4,5,2,4,1,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,79,4,5,5,4,3,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,79,1,1,1,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,79,3,3,1,3,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,79,4,5,4,5,3,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,80,3,2,3,2,2,4,Human-Novice,Human-Novice,
3,80,3,2,4,2,1,4,Human-Novice,Human-Novice,
4,80,4,2,5,2,3,4,Human-Novice,Human-Novice,
6,80,3,1,5,4,5,5,Human-Novice,Human-Novice,
7,80,1,1,4,1,1,1,Human-Novice,Human-Novice,
2,81,4,3,4,4,3,4,Human-Advanced,Human-Advanced,
3,81,4,3,3,3,2,4,Human-Advanced,Human-Advanced,
4,81,5,3,5,3,4,5,Human-Advanced,Human-Advanced,
6,81,2,4,5,4,4,5,Human-Advanced,Human-Advanced,
7,81,1,1,1,1,1,1,Human-Advanced,Human-Advanced,
2,82,5,4,5,5,4,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,82,2,3,3,3,4,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,82,4,3,3,3,2,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,82,2,1,1,2,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,82,3,3,4,2,3,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,83,1,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,83,2,1,1,1,1,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,83,3,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,83,1,1,1,5,5,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,83,1,1,1,1,1,3,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,84,4,3,5,4,4,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,84,4,4,3,2,3,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,84,4,3,3,2,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,84,3,2,4,2,2,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,84,2,1,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,85,5,4,5,5,4,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,85,5,4,3,4,3,3,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,85,4,5,4,5,3,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,85,3,4,2,4,4,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,85,3,4,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,86,5,3,4,4,4,4,Human-Advanced,Human-Advanced,
3,86,3,2,5,4,4,5,Human-Advanced,Human-Advanced,
4,86,4,2,5,2,3,3,Human-Advanced,Human-Advanced,
6,86,3,2,3,4,2,5,Human-Advanced,Human-Advanced,
7,86,4,3,5,4,4,5,Human-Advanced,Human-Advanced,
2,87,4,4,5,4,4,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,87,2,2,2,2,3,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,87,4,1,4,3,3,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,87,2,2,2,2,4,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,87,2,2,2,1,2,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,88,4,5,4,4,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,88,4,5,3,4,4,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,88,4,3,4,3,3,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,88,2,4,4,4,2,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,88,5,5,3,3,4,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,89,5,4,4,4,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,89,4,4,5,4,3,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,89,2,1,1,3,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,89,3,4,5,2,1,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,89,1,1,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,90,3,2,4,3,4,3,Human-Novice,Human-Novice,
3,90,1,3,2,2,2,4,Human-Novice,Human-Novice,
4,90,3,1,1,2,1,1,Human-Novice,Human-Novice,
6,90,4,2,2,4,2,5,Human-Novice,Human-Novice,
7,90,1,1,1,1,1,5,Human-Novice,Human-Novice,
2,91,4,2,3,2,2,3,Human-Intermediate,Human-Intermediate,
3,91,2,2,5,4,1,5,Human-Intermediate,Human-Intermediate,
4,91,5,3,5,3,4,5,Human-Intermediate,Human-Intermediate,
6,91,5,5,5,5,5,5,Human-Intermediate,Human-Intermediate,
7,91,2,1,3,1,1,5,Human-Intermediate,Human-Intermediate,
2,92,5,4,5,5,5,4,GPT-4,gpt-4,plan_write
3,92,4,3,4,3,5,3,GPT-4,gpt-4,plan_write
4,92,4,3,4,4,5,2,GPT-4,gpt-4,plan_write
6,92,1,2,2,3,5,2,GPT-4,gpt-4,plan_write
7,92,5,3,5,4,5,5,GPT-4,gpt-4,plan_write
2,93,4,3,5,4,4,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,93,3,2,3,3,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,93,4,1,1,3,3,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,93,2,1,2,2,5,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,93,2,1,1,1,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,94,5,5,4,5,4,4,GPT-4,gpt-4,plan_write
3,94,5,5,4,5,5,5,GPT-4,gpt-4,plan_write
4,94,4,5,4,4,3,2,GPT-4,gpt-4,plan_write
6,94,5,5,2,2,2,2,GPT-4,gpt-4,plan_write
7,94,5,5,5,5,5,5,GPT-4,gpt-4,plan_write
2,95,4,3,5,4,4,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,95,2,2,1,1,2,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,95,4,1,1,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,95,2,2,2,2,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,95,1,1,1,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,96,5,5,4,5,4,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,96,4,5,4,5,4,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,96,4,2,2,3,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,96,2,4,4,4,4,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,96,3,3,2,2,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,97,3,4,3,3,2,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,97,3,2,1,2,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,97,4,4,1,3,1,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,97,2,2,2,4,3,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,97,2,2,1,1,1,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,98,5,5,5,5,4,4,GPT-4,gpt-4,writer_profile
3,98,3,5,4,4,4,3,GPT-4,gpt-4,writer_profile
4,98,4,4,4,3,4,2,GPT-4,gpt-4,writer_profile
6,98,2,4,4,4,4,5,GPT-4,gpt-4,writer_profile
7,98,4,5,5,4,5,5,GPT-4,gpt-4,writer_profile
2,99,3,4,3,4,3,4,Human-Intermediate,Human-Intermediate,
3,99,4,3,2,4,2,5,Human-Intermediate,Human-Intermediate,
4,99,5,4,4,5,4,5,Human-Intermediate,Human-Intermediate,
6,99,2,4,4,4,2,5,Human-Intermediate,Human-Intermediate,
7,99,4,2,4,2,3,4,Human-Intermediate,Human-Intermediate,
